RatingId,UserId,ClubId,Value,Comment
268,68,5,4,Menomonie
269,69,6,5,Ohio
270,70,7,1,Spenser
271,71,8,2,Mifflin
272,72,9,3,Prairie Rose
273,73,10,4,Vidon
274,74,11,5,Ridge Oak
275,75,12,1,Lawn
276,76,13,2,Montana
277,77,14,3,Jenna
278,78,15,4,Westport
279,79,16,5,Southridge
280,80,17,1,Longview
281,81,18,2,Jay
282,82,19,3,Park Meadow
283,83,20,4,Thompson
284,84,21,5,Macpherson
285,85,22,1,Brown
286,86,23,2,Pennsylvania
287,87,24,3,Grayhawk
288,88,25,4,Grim
289,89,26,5,Goodland
290,90,27,1,Fair Oaks
291,91,28,2,Heath
292,92,29,3,7th
293,93,30,4,Moose
294,94,31,5,Village Green
295,95,32,1,Mariners Cove
296,96,33,2,Hintze
297,97,1,3,Tennyson
298,98,2,4,Ilene
299,99,3,5,Ohio
300,100,4,1,Prairie Rose
301,101,5,2,Mcguire
302,102,6,3,Columbus
303,2,7,4,Moose
304,3,8,5,Buhler
305,4,9,1,Burning Wood
306,5,10,2,Gale
307,6,11,3,Anderson
308,7,12,4,Banding
309,8,13,5,Surrey
310,9,14,1,School
311,10,15,2,Lakewood Gardens
312,11,16,3,Ryan
313,12,17,4,Goodland
314,13,18,5,Brentwood
315,14,19,1,Pearson
316,15,20,2,Colorado
317,16,21,3,Bay
318,17,22,4,Kropf
319,18,23,5,Gale
320,19,24,1,Washington
321,20,25,2,Esch
322,21,26,3,Del Mar
323,22,27,4,Spaight
324,23,28,5,Victoria
325,24,29,1,Lerdahl
326,25,30,2,Warner
327,26,31,3,Becker
328,27,32,4,Erie
329,28,33,5,Chinook
330,29,1,1,Judy
331,30,2,2,Washington
332,31,3,3,Laurel
333,32,4,4,Dahle
334,33,5,5,6th
335,34,6,1,Lunder
336,35,7,2,Hovde
337,36,8,3,Del Sol
338,37,9,4,Linden
339,38,10,5,Westend
340,39,11,1,Lyons
341,40,12,2,Aberg
342,41,13,3,Corben
343,42,14,4,Bartelt
344,43,15,5,Morningstar
345,44,16,1,Division
346,45,17,2,Victoria
347,46,18,3,Lotheville
348,47,19,4,Goodland
349,48,20,5,Bultman
350,49,21,1,Aberg
351,50,22,2,Holmberg
352,51,23,3,Brentwood
353,52,24,4,Kenwood
354,53,25,5,North
355,54,26,1,Talisman
356,55,27,2,Shasta
357,56,28,3,Truax
358,57,29,4,Luster
359,58,30,5,Fordem
360,59,31,1,Northport
361,60,32,2,Kingsford
362,61,33,3,Westend
363,62,1,4,Shopko
364,63,2,5,Eastlawn
365,64,3,1,Crest Line
366,65,4,2,Prairie Rose
367,66,5,3,Clemons
368,67,6,4,Gale
369,68,7,5,Schiller
370,69,8,1,Artisan
371,70,9,2,Myrtle
372,71,10,3,Karstens
373,72,11,4,Oakridge
374,73,12,5,Springs
375,74,13,1,Milwaukee
376,75,14,2,Sunbrook
377,76,15,3,Anthes
378,77,16,4,New Castle
379,78,17,5,Manitowish
380,79,18,1,Kenwood
381,80,19,2,Badeau
382,81,20,3,Dryden
383,82,21,4,Petterle
384,83,22,5,Glendale
385,84,23,1,Michigan
386,85,24,2,Katie
387,86,25,3,Redwing
388,87,26,4,Redwing
389,88,27,5,Monterey
390,89,28,1,Dawn
391,90,29,2,Victoria
392,91,30,3,Erie
393,92,31,4,Pearson
394,93,32,5,Burning Wood
395,94,33,1,Corry
396,95,1,2,Mallory
397,96,2,3,Esker
398,97,3,4,Katie
399,98,4,5,Troy
400,99,5,1,5th
401,100,6,2,Muir
402,101,7,3,Buena Vista
403,102,8,4,Sutherland
404,2,9,5,Pearson
405,3,10,1,Burrows
406,4,11,2,New Castle
407,5,12,3,Warbler
408,6,13,4,Troy
409,7,14,5,Larry
410,8,15,1,Colorado
411,9,16,2,Dryden
412,10,17,3,Hermina
413,11,18,4,Thackeray
414,12,19,5,Mayfield
415,13,20,1,Transport
416,14,21,2,Texas
417,15,22,3,Northwestern
418,16,23,4,Moulton
419,17,24,5,Delaware
420,18,25,1,Lake View
421,19,26,2,Moland
422,20,27,3,Bayside
423,21,28,4,Victoria
424,22,29,5,Northfield
425,23,30,1,Hoffman
426,24,31,2,Wayridge
427,25,32,3,Dakota
428,26,33,4,Haas
429,27,1,5,Nevada
430,28,2,1,Cherokee
431,29,3,2,Independence
432,30,4,3,Drewry
433,31,5,4,Elka
434,32,6,5,Truax
435,33,7,1,Forest
436,34,8,2,Del Sol
437,35,9,3,Colorado
438,36,10,4,Iowa
439,37,11,5,Sutherland
440,38,12,1,Meadow Vale
441,39,13,2,Shelley
442,40,14,3,Melody
443,41,15,4,Pine View
444,42,16,5,Redwing
445,43,17,1,Oneill
446,44,18,2,High Crossing
447,45,19,3,Chinook
448,46,20,4,Colorado
449,47,21,5,8th
450,48,22,1,Sauthoff
451,49,23,2,Hallows
452,50,24,3,Barby
453,51,25,4,Chinook
454,52,26,5,Crowley
455,53,27,1,Helena
456,54,28,2,Memorial
457,55,29,3,Derek
